order,data_win,data_bova,data_diferente,ticks,cruzados,spread_max,amplitude,salto_max,suspeito
210,2022.05.06,2022.05.06,False,37766,0,55.0,2420.0,90.0,False
211,2022.05.09,2022.05.09,False,33061,0,25.0,1710.0,120.0,False
212,2022.05.10,2022.05.10,False,32927,0,20.0,1720.0,90.0,False
213,2022.05.11,2022.05.11,False,32434,0,35.0,1490.0,75.0,False
214,2022.05.12,2022.05.12,False,31470,0,25.0,2070.0,55.0,False
215,2022.05.13,2022.05.13,False,23784,0,15.0,1625.0,70.0,False
216,2022.05.16,2022.05.16,False,23753,0,25.0,1990.0,60.0,False
217,2022.05.17,2022.05.17,False,23635,0,30.0,1445.0,60.0,False
218,2022.05.18,2022.05.18,False,22832,0,30.0,2200.0,80.0,False
219,2022.05.19,2022.05.19,False,29777,0,20.0,1205.0,75.0,False
220,2022.05.20,2022.05.20,False,27839,0,30.0,1480.0,45.0,False
221,2022.05.23,2022.05.23,False,21934,0,30.0,1670.0,70.0,False
222,2022.05.24,2022.05.24,False,28541,0,40.0,1620.0,90.0,False
223,2022.05.25,2022.05.25,False,26484,0,30.0,1450.0,65.0,False
224,2022.05.26,2022.05.26,False,15734,0,20.0,1740.0,75.0,False
225,2022.05.27,2022.05.27,False,17033,0,25.0,955.0,60.0,False
226,2022.05.30,2022.05.30,False,14165,0,40.0,2055.0,80.0,False
227,2022.05.31,2022.05.31,False,23579,0,20.0,1310.0,60.0,False
228,2022.06.01,2022.06.01,False,26274,0,30.0,1255.0,70.0,False
229,2022.06.02,2022.06.02,False,20257,0,40.0,1675.0,115.0,False
230,2022.06.03,2022.06.03,False,22932,0,15.0,955.0,45.0,False
231,2022.06.06,2022.06.06,False,20204,0,20.0,2045.0,75.0,False
232,2022.06.07,2022.06.07,False,21861,0,20.0,1060.0,85.0,False
233,2022.06.08,2022.06.08,False,22963,0,30.0,2140.0,60.0,False
234,2022.06.09,2022.06.09,False,26682,0,20.0,1470.0,160.0,False
235,2022.06.10,2022.06.10,False,31933,0,35.0,1550.0,130.0,False
236,2022.06.13,2022.06.13,False,28248,0,35.0,1980.0,125.0,False
237,2022.06.14,2022.06.14,False,29108,0,25.0,2055.0,95.0,False
238,2022.06.15,2022.06.15,False,33278,0,85.0,2210.0,150.0,False
239,2022.06.17,2022.06.17,False,34897,0,40.0,2080.0,110.0,False
240,2022.06.20,2022.06.20,False,24280,0,50.0,2100.0,95.0,False
241,2022.06.21,2022.06.21,False,24406,0,30.0,1670.0,100.0,False
242,2022.06.22,2022.06.22,False,26929,0,25.0,2415.0,150.0,False
243,2022.06.23,2022.06.23,False,28815,0,35.0,2355.0,100.0,False
244,2022.06.24,2022.06.24,False,23358,0,25.0,1455.0,80.0,False
245,2022.06.27,2022.06.27,False,24008,0,25.0,1525.0,70.0,False
246,2022.06.28,2022.06.28,False,26916,0,20.0,2400.0,140.0,False
247,2022.06.29,2022.06.29,False,27136,0,20.0,2105.0,115.0,False
