tag,fold,side,split,thr,n,win_rate,mean_pl,sum_pl
lstm_v2_base,2,buy,val,0.0,11469,0.5162612259133316,-5.395611763000488,-61882.26953125
lstm_v2_base,2,buy,test,0.5,8745,0.6547741566609491,15.631312370300293,136695.828125
lstm_v2_base,2,buy,test,0.51,8133,0.6597811385712529,16.54578971862793,134566.90625
lstm_v2_base,2,buy,test,0.52,7631,0.6619053859258288,16.3548641204834,124803.9609375
lstm_v2_base,2,buy,test,0.53,7055,0.6669029057406095,16.639318466186523,117390.390625
lstm_v2_base,2,buy,test,0.54,6493,0.6734945325735407,18.2857723236084,118729.515625
lstm_v2_base,2,buy,test,0.55,5991,0.6783508596227675,19.049741744995117,114127.0
lstm_v2_base,2,buy,test,0.56,5471,0.6826905501736429,19.521255493164062,106800.7890625
lstm_v2_base,2,buy,test,0.57,5025,0.6865671641791045,20.340988159179688,102213.46875
lstm_v2_base,2,buy,test,0.58,4600,0.6882608695652174,20.720571517944336,95314.6328125
lstm_v2_base,2,buy,test,0.59,4185,0.6908004778972521,20.79522132873535,87028.0
lstm_v2_base,2,buy,test,0.6,3792,0.6943565400843882,21.740100860595703,82438.4609375
lstm_v2_base,2,buy,test,0.61,3435,0.7056768558951965,25.297351837158203,86896.40625
lstm_v2_base,2,buy,test,0.62,3089,0.7067011977986404,24.637741088867188,76105.984375
lstm_v2_base,2,buy,test,0.63,2734,0.7088514996342355,25.378942489624023,69386.03125
lstm_v2_base,2,buy,test,0.64,2408,0.7117940199335548,25.739980697631836,61981.875
lstm_v2_base,2,buy,test,0.65,2086,0.7114093959731543,23.752370834350586,49547.4453125
