sigma,Re,Ri,n,spread_med,d_med,SG_med,SL_med,SG/spread_med,win_bidask,win_mid,pl_bidask,pl_mid,pl_real,custo_spread(mid-bidask),spread_medio
2.5,0.9,0.5,4094.0,5.0,204.55644134786417,184.10079721307775,102.27822067393208,34.844370431920765,0.34807034684904736,0.3695652173913043,-2.754853877647554,2.6594551724879034,-5.784074255007328,5.414309050135458,5.595994137762579
2.5,0.9,1.0,2562.0,5.0,197.18846162755653,177.46961546480088,197.18846162755653,33.846390682570785,0.5097580015612803,0.5292740046838408,-3.041745340218673,4.0200272534789825,-3.786104605776737,7.061772593697656,5.616705698672912
2.5,0.9,1.5,1954.0,5.0,194.89673966311238,175.40706569680117,292.3451094946686,32.91487181645819,0.6023541453428863,0.617195496417605,0.10562774846014251,6.85261372485101,0.05885363357215967,6.746985976390867,5.629477993858751
3.0,0.5,0.5,2330.0,5.0,212.8048858009206,106.4024429004603,106.4024429004603,20.37532530084063,0.4854077253218884,0.5120171673819742,-1.5194867021758232,4.136005524026476,-3.313304721030043,5.655492226202299,5.76824034334764
3.0,0.5,1.0,1771.0,5.0,205.83888505824143,102.91944252912072,205.83888505824143,19.630165796767688,0.6487859966120836,0.6640316205533597,-1.901370510610747,3.154451487566215,-1.3015245623941276,5.055821998176961,5.722755505364201
3.0,0.5,1.5,1538.0,5.0,203.11980931949802,101.55990465974901,304.679713979247,19.137516759039862,0.7249674902470741,0.7379713914174252,-0.3281265517418435,4.812816568457885,1.8237971391417425,5.140943120199728,5.70221066319896
3.0,0.75,0.5,2245.0,5.0,215.32220438825607,161.49165329119205,107.66110219412803,30.81321973404265,0.3910913140311804,0.41247216035634743,-1.3748751661659089,3.95882080593868,-4.289532293986637,5.333695972104589,5.752783964365256
3.0,0.75,1.0,1614.0,5.0,208.87791227881098,156.65843420910824,208.87791227881098,29.832899783883114,0.557001239157373,0.5731102850061958,-2.419994462569576,3.1628397004408724,-2.7881040892193307,5.582834163010448,5.72180916976456
3.0,0.75,1.5,1351.0,5.0,207.65945491890307,155.7445911891773,311.4891823783546,29.588050873656904,0.6373056994818653,0.6535899333826795,-2.549727400851192,5.51541926195056,-1.772760917838638,8.065146662801752,5.79940784603997
3.0,0.9,0.5,2182.0,5.0,216.47363858389872,194.82627472550885,108.23681929194936,37.05053405436891,0.35059578368469296,0.3703024747937672,-1.7275132025412103,3.75770977045799,-5.291017415215399,5.485222972999201,5.765352887259395
3.0,0.9,1.0,1534.0,5.0,211.10623132858746,189.99560819572872,211.10623132858746,36.260947104947846,0.5241199478487614,0.5384615384615384,0.8706745970886864,6.498834202748907,0.14015645371577576,5.628159605660221,5.723598435462843
3.0,0.9,1.5,1250.0,5.0,210.2874056096698,189.25866504870282,315.4311084145047,35.765390044696396,0.6016,0.6136,-0.15521449051110903,4.925436594519881,0.172,5.08065108503099,5.844
4.0,0.5,0.5,387.0,5.0,242.45796107352362,121.22898053676181,121.22898053676181,22.275952204101486,0.5012919896640827,0.524547803617571,0.6426058441190672,6.4824266685675465,-0.8914728682170543,5.839820824448479,6.1757105943152455
4.0,0.5,1.0,327.0,5.0,233.83017131606175,116.91508565803088,233.83017131606175,21.390222714844278,0.6636085626911316,0.6788990825688074,-1.7256610908165113,3.289827235899342,-0.7492354740061162,5.015488326715854,6.223241590214068
4.0,0.5,1.5,315.0,5.0,232.55843376884877,116.27921688442439,348.83765065327316,21.1739502413242,0.726984126984127,0.7396825396825397,-3.9821964404019545,3.547398831281536,-1.492063492063492,7.52959527168349,6.301587301587301
4.0,0.75,0.5,384.0,5.0,242.61090269192937,181.95817701894703,121.30545134596468,33.49921775564653,0.3984375,0.4192708333333333,-4.539025312975184,2.8182385417983746,-7.447916666666667,7.357263854773558,6.09375
4.0,0.75,1.0,318.0,5.0,234.1481813038481,175.61113597788608,234.1481813038481,32.01187924736987,0.5786163522012578,0.5911949685534591,-1.8602559066163489,3.8702425933604774,-1.3836477987421383,5.730498499976826,6.147798742138365
4.0,0.75,1.5,307.0,5.0,233.83017131606175,175.3726284870463,350.7452569740926,31.760925361986303,0.6416938110749185,0.6579804560260586,-10.589741462155972,-0.020876627497504224,-8.697068403908794,10.568864834658468,6.221498371335505
4.0,0.9,0.5,381.0,5.0,243.5378319896554,219.18404879068984,121.7689159948277,40.33870201997023,0.3753280839895013,0.3910761154855643,2.379775890141079,8.937664807117077,-1.2073490813648293,6.5578889169759975,6.102362204724409
4.0,0.9,1.0,313.0,5.0,234.46619129163446,211.019572162471,234.46619129163446,38.5024008867197,0.5463258785942492,0.5559105431309904,2.789843495899407,7.349739736528476,2.2044728434504792,4.559896240629069,6.246006389776358
4.0,0.9,1.5,295.0,5.0,232.55843376884877,209.3025903919639,348.83765065327316,38.20891416929313,0.5966101694915255,0.6101694915254238,-12.242323915945741,-3.5109219718003817,-11.779661016949152,8.73140194414536,6.135593220338983
