order,date,n_ticks,win_move,fair_move,misp_open,misp_close,long_hold_pnl,short_hold_pnl
132,2021-12-23,18480,55.0,61.819740825827466,-13.389635451836511,-20.209376277663978,47.5,-62.5
133,2021-12-27,16079,150.0,173.07285424822476,15.69128782529151,-7.381566422933247,142.5,-157.5
134,2021-12-28,16360,-135.0,-141.25670652046392,3.062392773339525,9.319099293803447,-147.5,132.5
135,2021-12-29,22932,-590.0,-572.1154950483178,16.18104362321901,-1.7034613284631632,-602.5,587.5
136,2021-12-30,25756,680.0,731.8019061746018,8.344009639986325,-43.45789653461543,677.5,-692.5
137,2022-01-03,30433,-1740.0,-1727.2052481155988,-4.238227035806631,-17.032978920207825,-1752.5,1737.5
138,2022-01-04,33521,-120.0,-92.16712660330813,21.855385379574727,-5.977488017117139,-127.5,112.5
139,2022-01-05,36114,-940.0,-943.9997959066532,-13.3935295764677,-9.393733669814537,-947.5,932.5
140,2022-01-06,43637,465.0,475.32726428502065,3.1178444442048203,-7.209419840815826,462.5,-477.5
141,2022-01-07,31407,1020.0,1026.565818475603,8.350972830405226,1.7851543548022164,1007.5,-1022.5
142,2022-01-10,30551,-345.0,-339.6112968208472,-3.8962695790978614,-9.28497275825066,-347.5,332.5
143,2022-01-11,27987,1440.0,1462.1836646542652,7.96228767852881,-14.221376975736348,1432.5,-1447.5
144,2022-01-12,22862,755.0,728.5938871788385,-20.69270352536114,5.713409295800375,747.5,-762.5
145,2022-01-13,34255,860.0,839.9902646869596,-10.498090060806135,9.511645252234302,852.5,-867.5
146,2022-01-14,34274,1200.0,1181.9008609485318,-17.532782653346658,0.5663563981215702,1192.5,-1207.5
147,2022-01-17,18428,65.0,70.40129320435517,-7.450035688918433,-12.851328893273603,57.5,-72.5
148,2022-01-18,32200,345.0,367.2652000050148,-1.2169598412438063,-23.482159846258583,342.5,-357.5
149,2022-01-19,26991,-250.0,-244.98513564594032,3.890499994828133,-1.1243643592315493,-257.5,242.5
150,2022-01-20,23324,725.0,718.902915818675,-3.043616422728519,3.0534677585965255,717.5,-732.5
151,2022-01-21,42080,80.0,107.0138051880349,12.965616372937802,-14.048188815097092,72.5,-87.5
152,2022-01-24,43871,-1180.0,-1193.1894881176704,-8.243899046778097,4.945589070892311,-1187.5,1172.5
153,2022-01-25,41784,2505.0,2473.8385949631192,-10.344970223683049,20.816434813197702,2497.5,-2512.5
154,2022-01-26,35211,460.0,435.3406210422836,4.188347419243655,28.847726376960054,447.5,-462.5
155,2022-01-27,38571,-705.0,-696.6872907438956,-8.323645625641802,-16.63635488174623,-712.5,697.5
156,2022-01-28,32601,-1445.0,-1426.6383868741832,3.4338791389018297,-14.927733986914973,-1442.5,1427.5
157,2022-01-31,26881,-85.0,-55.71423182875151,30.413183419033885,1.1274152477853931,-87.5,72.5
158,2022-02-01,25818,700.0,686.3201444249571,-4.034190976351965,9.645664598690928,697.5,-712.5
159,2022-02-07,27229,405.0,395.7918318228185,-0.6727413527842145,8.535426824397291,397.5,-412.5
160,2022-02-08,19527,750.0,763.1853532944078,3.338092495308956,-9.847260799098876,747.5,-762.5
161,2022-02-09,23344,355.0,354.5693804733164,1.3174462679598946,1.7480657946434803,342.5,-357.5
162,2022-02-14,33265,-540.0,-534.8697428997548,14.019422723649768,8.889165623404551,-547.5,532.5
163,2022-02-21,15008,-562.5,-562.3012962107605,5.165121084544808,4.966417295305291,-575.0,555.0
164,2022-02-22,26035,-535.0,-537.6386487864656,-5.015941758960253,-2.3772929724946152,-532.5,517.5
165,2022-02-23,26654,-1420.0,-1438.9588752967538,-17.32739608339034,1.631479213363491,-1425.0,1410.0
166,2022-02-24,49770,647.5,642.0535764670058,2.411125750397332,7.857549283391563,635.0,-655.0
167,2022-02-25,36536,840.0,822.8097588189557,-17.612857882515527,-0.42261670147127006,827.5,-842.5
168,2022-03-02,12859,530.0,-673.4008091923024,-1190.2565113158198,13.144297876482597,522.5,-537.5
169,2022-03-03,26936,-110.0,-102.3891042987234,28.28925148306007,20.678355781783466,-112.5,97.5
170,2022-03-04,24594,-880.0,-885.0716695319134,-15.075470124051208,-10.00380059213785,-892.5,877.5
171,2022-03-07,25543,-2270.0,-2277.232139248459,-2.0553397151525132,5.176799533306621,-2277.5,2262.5
172,2022-03-08,44794,-135.0,-139.89470335366786,-16.78111443229136,-11.886411078623496,-142.5,127.5
173,2022-03-09,26117,1400.0,1372.9161524328229,-15.083153354673414,12.000694212503731,1397.5,-1412.5
174,2022-03-10,32561,800.0,818.6527975061763,12.854697060829494,-5.79810044534679,785.0,-800.0
175,2022-03-11,29870,-950.0,-950.4889360577217,6.3766549221472815,6.865590979869012,-962.5,947.5
176,2022-03-14,39480,-1440.0,-1422.5016503706574,-4.309655510325683,-21.80800513966824,-1442.5,1427.5
177,2022-03-15,33379,515.0,531.4976902635826,8.366923036926892,-8.130767226655735,502.5,-517.5
178,2022-03-16,36533,315.0,312.09477791508834,-9.629159072166658,-6.723936987255001,307.5,-322.5
179,2022-03-17,35099,1345.0,1378.0911473769665,30.10413551334932,-2.9870118636172265,1332.5,-1347.5
180,2022-03-18,26876,2170.0,2201.5940952021338,21.15230869987863,-10.441786502255127,2162.5,-2177.5
181,2022-03-21,36998,265.0,242.9007134368876,17.19283953694685,39.29212610005925,252.5,-267.5
182,2022-03-22,20616,-305.0,-294.4221339994983,-0.548027653596364,-11.125893654098036,-307.5,292.5
183,2022-03-23,24274,375.0,359.17763800072134,-0.5041182913846569,15.318243707893998,367.5,-382.5
184,2022-03-24,23969,1145.0,1129.4134394176072,-9.209544266021112,6.377016316371737,1137.5,-1152.5
185,2022-03-25,26040,-325.0,-322.16601558518596,-1.4467152737488504,-4.2806996885628905,-317.5,302.5
186,2022-03-28,21597,315.0,307.20617074504844,4.4885358728352,12.282365127786761,302.5,-317.5
187,2022-03-29,25712,195.0,163.70804763970955,-32.3402309135563,-1.0482785532658454,187.5,-202.5
188,2022-03-31,18673,-175.0,-186.7948754117824,-7.5809993029688485,4.213876108813565,-187.5,172.5
189,2022-04-01,20547,-130.0,-126.34699208289385,-6.231277137732832,-9.884285054838983,-142.5,127.5
190,2022-04-04,15327,335.0,348.9700847840868,17.077367434540065,3.1072826504532713,327.5,-342.5
191,2022-04-05,24508,-2505.0,-2471.7429895516543,22.761787604686106,-10.495222843659576,-2507.5,2492.5
192,2022-04-06,37684,-185.0,-209.5469180259388,-32.26662341784686,-7.7197053919080645,-187.5,172.5
193,2022-04-07,33099,825.0,824.4650002973794,7.442072873644065,7.977072576264618,812.5,-827.5
194,2022-04-08,22647,545.0,512.655387455321,-20.364341233536834,11.980271311142133,537.5,-552.5
195,2022-04-11,29118,180.0,192.6716020462336,-7.843809796875576,-20.515411843109177,177.5,-192.5
196,2022-04-12,24214,-1925.0,-1926.4352253325342,-17.332211128028575,-15.896985795494402,-1932.5,1917.5
197,2022-04-18,22823,-45.0,-45.30757292045746,-15.193227649811888,-14.885654729354428,-50.0,35.0
198,2022-04-19,18700,30.0,-4.459441181184957,-17.791954652086133,16.667486529098824,22.5,-37.5
199,2022-04-20,18313,-225.0,-217.67261936060095,2.0284197947912617,-5.298960844607791,-232.5,217.5
200,2022-04-22,30560,-1410.0,-1429.6475082632387,-12.592147861185367,7.0553604020533385,-1422.5,1407.5
201,2022-04-25,38185,1035.0,1016.6760924346745,6.770199723585392,25.09410728891089,1022.5,-1037.5
202,2022-04-26,28393,-1165.0,-1136.004495276924,16.643533623719122,-12.351971099356888,-1170.0,1155.0
203,2022-04-27,39352,-80.0,-71.12805493532505,8.11242307916109,-0.7595219855138566,-97.5,82.5
204,2022-04-28,28018,825.0,814.8088194954616,-5.5585764340357855,4.632604070502566,822.5,-837.5
205,2022-04-29,30642,-2550.0,-2512.5531952903257,21.50715677611879,-15.939647933555534,-2552.5,2537.5
206,2022-05-02,41014,-955.0,-960.4182377247198,-25.04894089428126,-19.630703169561457,-962.5,947.5
207,2022-05-03,39325,-200.0,-198.70965806592721,-6.396273138874676,-7.686615072947461,-202.5,187.5
208,2022-05-04,35559,2220.0,2158.350537645645,-43.41112901174347,18.23833334261144,2212.5,-2227.5
209,2022-05-05,45037,-1590.0,-1605.2407356248004,-7.423068589181639,7.817667035618797,-1592.5,1577.5
210,2022-05-06,51761,355.0,353.5256240283197,6.5993704048742075,8.073746376554482,347.5,-362.5
211,2022-05-09,41886,-305.0,-319.40966375384596,-11.088426676928066,3.321237076917896,-297.5,282.5
212,2022-05-10,40356,-230.0,-238.00159750995226,-13.280032703420147,-5.278435193467885,-237.5,222.5
213,2022-05-11,43266,570.0,561.6981897763035,-7.6188740014331415,0.682936222263379,565.0,-580.0
214,2022-05-12,40726,1632.5,1667.901974905195,27.756783101620385,-7.645191803574562,1617.5,-1637.5
215,2022-05-13,29697,580.0,528.9197494069958,-4.82285853032954,46.257392062674626,567.5,-582.5
216,2022-05-16,29363,645.0,660.0002953567018,14.307369657268282,-0.6929256994335447,642.5,-657.5
217,2022-05-17,30343,-755.0,-730.8455098882259,5.700315655500162,-18.454174456273904,-762.5,747.5
218,2022-05-18,30423,-1600.0,-1633.2759045872808,-16.64547136091278,16.63043322636804,-1607.5,1592.5
219,2022-05-19,36958,225.0,250.42965893320797,-7.499119331056136,-32.92877826426411,222.5,-237.5
220,2022-05-20,33186,-430.0,-463.12828636383347,6.933598331394023,40.06188469522749,-445.0,430.0
221,2022-05-23,28014,1120.0,1132.1683948549326,7.119423739466583,-5.048971115465974,1107.5,-1122.5
222,2022-05-24,39976,915.0,887.3914992508653,-6.940130276518175,20.668370472616516,907.5,-922.5
223,2022-05-25,36748,780.0,769.1014002958982,-0.6156705865287222,10.282929117573076,772.5,-787.5
224,2022-05-26,19334,1010.0,998.6135273773107,-15.150766044447664,-3.764293421758339,1002.5,-1017.5
225,2022-05-27,20572,277.5,278.4381157978787,-9.654544832650572,-10.59266063052928,277.5,-297.5
226,2022-05-30,17505,-1317.5,-1263.1752117539145,10.935012609872501,-43.38977563621302,-1320.0,1300.0
227,2022-05-31,30317,-502.5,-519.3340751722426,-13.353584706419497,3.4804904658230953,-512.5,492.5
228,2022-06-01,35242,80.0,104.75927037012298,13.848723691466148,-10.910546678656829,77.5,-92.5
229,2022-06-02,25224,30.0,20.283797015203163,1.538799011366791,11.255001996163628,32.5,-47.5
230,2022-06-03,32408,-210.0,-209.0659071993723,-10.981990606087493,-11.916083406715188,-222.5,207.5
